;IPC;mu;gamma;f2;sigma;epsilon;score
jun/16;0,26;0,621990308;-0,418317747;-1,689479434;0,184615604;0,3051066;0,055988487
jul/16;0,37;0,644550219;-0,101031719;-1,689479434;0,184615604;-0,939890759;-0,164091428
ago/16;0,32;0,578431485;-0,202517061;-1,689479434;0,184615604;-0,302869439;-0,055582845
set/16;0,07;0,556035024;-0,355914972;-1,689479434;0,184615604;-0,704816109;-0,126047904
out/16;0,34;0,505245486;-0,059455683;-1,689479434;0,184615604;-0,57302742;-0,10357796
nov/16;0,17;0,463509951;-0,131322292;-1,689479434;0,184615604;-0,878515441;-0,154436189
dez/16;0,33;0,401281683;0,027740684;-1,689479434;0,184615604;-0,53637052;-0,097203718
jan/17;0,69;0,362114575;0,48939472;-1,689479434;0,184615604;-0,874840977;-0,153851628
fev/17;0,31;0,30012185;0,035495999;-1,689479434;0,184615604;-0,138763185;-0,02558581
mar/17;0,47;0,289812345;0,170055267;-1,689479434;0,184615604;0,054883704;0,010130404
abr/17;0,12;0,293894273;-0,169857775;-1,689479434;0,184615604;-0,021864343;-0,004036373
mai/17;0,52;0,292267864;0,177119208;-1,689479434;0,184615604;0,274153038;0,050366741
jun/17;-0,32;0,312562557;-0,563342087;-1,689479434;0,184615604;-0,374943766;-0,06859335
jul/17;0,38;0,284923663;0,007408624;-1,689479434;0,184615604;0,474866212;0,086400656
ago/17;0,13;0,319737804;-0,200001311;-1,689479434;0,184615604;0,055593933;0,010261445
